# this line is just a comment
miRNA ID	miRNA Acc	Refseq	Symbol	Description	diana	microinspector	miranda	mirtarget2	mitarget	nbmirtar	pictar	pita	rna22	rnahybrid	targetscan
hsa-miR-206	MIMAT0000462	NM_000165	GJA1	"gap junction protein, alpha 1, 43kDa"	0	1	0	1	0	1	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_000245	MET	met proto-oncogene (hepatocyte growth factor receptor)	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_000362	TIMP3	"TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)"	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_000408	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_001002838	WNK3	WNK lysine deficient protein kinase 3	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_001310	CREBL2	cAMP responsive element binding protein-like 2	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_001655	ARCN1	archain 1	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_001709	BDNF	brain-derived neurotrophic factor	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_001829	CLCN3	chloride channel 3	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_002156	HSPD1	heat shock 60kDa protein 1 (chaperonin)	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_003100	SNX2	sorting nexin 2	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_003299	HSP90B1	"heat shock protein 90kDa beta (Grp94), member 1"	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_003406	YWHAZ	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_003762	VAMP4	vesicle-associated membrane protein 4	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_003873	NRP1	neuropilin 1	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_004501	HNRNPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_004520	KIF2A	kinesin heavy chain member 2A	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_004593	SFRS10	"splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)"	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_004674	ASH2L	"ash2 (absent, small, or homeotic)-like (Drosophila)"	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_004788	UBE4A	"ubiquitination factor E4A (UFD2 homolog, yeast)"	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_004859	CLTC	"clathrin, heavy chain (Hc)"	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_004926	ZFP36L1	"zinc finger protein 36, C3H type-like 1"	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_004965	HMGN1	high-mobility group nucleosome binding domain 1	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_005584	MAB21L1	mab-21-like 1 (C. elegans)	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_005868	BET1	blocked early in transport 1 homolog (S. cerevisiae)	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_005924	MEOX2	mesenchyme homeobox 2	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_006037	HDAC4	histone deacetylase 4	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_006085	BPNT1	"3""(2""), 5""-bisphosphate nucleotidase 1"	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_006595	API5	apoptosis inhibitor 5	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_006734	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	0	0	1	1	0	0	1	1	0	1	1
hsa-miR-206	MIMAT0000462	NM_006826	YWHAQ	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide"	0	0	1	1	0	0	1	1	0	1	1
